,name,accuracy,class,game_desc,effect_chance,generation,machines,crit_rate,type,power,pp,priority
164,struggle,NA,physical,"An attack that is used in desperation
only if the user has no PP. This also
damages the user a little.","Inflicts typeless regular damage.  User takes 1/4 its max HP in recoil.  Ignores accuracy and evasion modifiers.

This move is used automatically when a Pokémon cannot use any other move legally, e.g., due to having no PP remaining or being under the effect of both encore and torment at the same time.

This move's recoil is not treated as recoil for the purposes of anything that affects recoil, such as the ability rock head.  It also is not prevented by magic guard.

This move cannot be copied by mimic, mirror move, or sketch, nor selected by assist or metronome, nor forced by encore.",1,NA,0,normal,50,1,0
165,sketch,NA,status,"It enables the user to permanently learn
the move last used by the target.
Once used, Sketch disappears.","Permanently replaces itself with the target's last used move.  If that move is chatter or struggle, this move will fail.

This move cannot be copied by mimic or mirror move, nor selected by assist or metronome, nor forced by encore.",2,NA,0,normal,NA,1,0
166,triple-kick,90,physical,"A consecutive three-kick attack that
becomes more powerful with each
successive hit.","Inflicts regular damage.  Hits three times in the same turn.  The second hit has double power, and the third hit has triple power.  Each hit has a separate accuracy check, and this move stops if a hit misses.

skill link does not apply.",2,NA,0,fighting,10,10,0
167,thief,100,physical,"The user attacks and steals the target’s
held item simultaneously. The user can’t
steal anything if it already holds an item.","Inflicts regular damage.  If the target is holding an item and the user is not, the user will permanently take the item.  Damage is still inflicted if an item cannot be taken.

Pokémon with sticky hold or multitype are immune to the item theft effect.

The target cannot recover its item with recycle.

This move cannot be selected by assist or metronome.",2,tm46,0,dark,60,25,0
168,spider-web,NA,status,"The user ensnares the target with thin,
gooey silk so it can’t flee from battle.","The target cannot switch out normally.  Ignores accuracy and evasion modifiers.  This effect ends when the user leaves the field.

The target may still escape by using baton pass, u turn, or a shed shell.

Both the user and the target pass on this effect with baton pass.",2,NA,0,bug,NA,10,0
169,mind-reader,NA,status,"The user senses the target’s movements
with its mind to ensure its next
attack does not miss the target.","If the user targets the same target again before the end of the next turn, the move it uses is guaranteed to hit.  This move itself also ignores accuracy and evasion modifiers.

One-hit KO moves are also guaranteed to hit, as long as the user is equal or higher level than the target.  This effect also allows the user to hit Pokémon that are off the field due to moves such as dig or fly.

If the target uses detect or protect while under the effect of this move, the user is not guaranteed to hit, but has a (100 - accuracy)% chance to break through the protection.

This effect is passed on by baton pass.",2,NA,0,normal,NA,5,0
170,nightmare,100,status,"A sleeping target sees a nightmare
that inflicts some damage every turn.","Only works on sleeping Pokémon.  Gives the target a nightmare, damaging it for 1/4 its max HP every turn.  If the target wakes up or leaves the field, this effect ends.",2,tm50,0,ghost,NA,15,0
171,flame-wheel,100,physical,"The user cloaks itself in fire and
charges at the target.
This may also leave the target with a burn.","Inflicts regular damage.  Has a 10% chance to burn the target.  Frozen Pokémon may use this move, in which case they will thaw.",2,NA,0,fire,60,25,0
172,snore,100,special,"An attack that can be used only if the
user is asleep. The harsh noise may also
make the target flinch.",Only usable if the user is sleeping.  Inflicts regular damage.  Has a 30% chance to make the target flinch.,2,tm13,0,normal,50,15,0
173,curse,NA,status,"A move that works differently for the
Ghost type than for all other types.","If the user is a ghost: user pays half its max HP to place a curse on the target, damaging it for 1/4 its max HP every turn.
Otherwise: Lowers the user's Speed by one stage, and raises its Attack and Defense by one stage each.

The curse effect is passed on by baton pass.

This move cannot be copied by mirror move.",2,tm03,0,ghost,NA,10,0
174,flail,100,physical,"The user flails about aimlessly to attack.
The less HP the user has,
the greater the move’s power.","Inflicts regular damage.  Power varies inversely with the user's proportional remaining HP.

64 * current HP / max HP | Power
-----------------------: | ----:
 0– 1                    |  200
 2– 5                    |  150
 6–12                    |  100
13–21                    |   80
22–42                    |   40
43–64                    |   20
",2,NA,0,normal,NA,15,0
175,conversion-2,NA,status,"The user changes its type to make itself
resistant to the type of the attack the
opponent used last.","Changes the user's type to a type either resistant or immune to the last damaging move that hit it.  The new type is selected at random and cannot be a type the user already is.  If there is no eligible new type, this move will fail.",2,NA,0,normal,NA,30,0
176,aeroblast,95,special,"A vortex of air is shot at the target to
inflict damage.
Critical hits land more easily.",Inflicts regular damage.  User's critical hit rate is one level higher when using this move.,2,NA,1,flying,100,5,0
177,cotton-spore,100,status,"The user releases cotton-like spores
that cling to the opposing Pokémon,
which harshly lowers their Speed stats.",Lowers the target's Speed by two stages.,2,NA,0,grass,NA,40,0
178,reversal,100,physical,"An all-out attack that becomes more
powerful the less HP the user has.","Inflicts regular damage.  Power varies inversely with the user's proportional remaining HP.

64 * current HP / max HP | Power
-----------------------: | ----:
 0– 1                    |  200
 2– 5                    |  150
 6–12                    |  100
13–21                    |   80
22–42                    |   40
43–64                    |   20
",2,0,0,fighting,NA,15,0
179,spite,100,status,"The user unleashes its grudge on the move
last used by the target by cutting 4 PP
from it.","Lowers the PP of the target's last used move by 4.  If the target hasn't used a move since entering the field, if it tried to use a move this turn and failed, or if its last used move has 0 PP remaining, this move will fail.",2,NA,0,ghost,NA,10,0
180,powder-snow,100,special,"The user attacks with a chilling gust
of powdery snow.
This may also freeze the opposing Pokémon.",Inflicts regular damage.  Has a 10% chance to freeze the target.,2,NA,0,ice,40,25,0
181,protect,NA,status,"Enables the user to evade all attacks.
Its chance of failing rises if it is used
in succession.","No moves will hit the user for the remainder of this turn.  If the user is last to act this turn, this move will fail.

If the user successfully used detect, endure, protect, quick guard, or wide guard on the last turn, this move has a 50% chance to fail.

lock on, mind reader, and no guard provide a (100 – accuracy)% chance for moves to break through this move.  This does not apply to one-hit KO moves (fissure, guillotine, horn drill, and sheer cold); those are always blocked by this move.

thunder during rain dance and blizzard during hail have a 30% chance to break through this move.

The following effects are not prevented by this move:

* acupressure from an ally
* curse's curse effect
* Delayed damage from doom desire and future sight; however, these moves will be prevented if they are used this turn
* feint, which will also end this move's protection after it hits
* imprison
* perish song
* shadow force
* Moves that merely copy the user, such as transform or psych up

This move cannot be selected by assist or metronome.",2,tm17,0,normal,NA,10,4
182,mach-punch,100,physical,"The user throws a punch at blinding
speed. This move always goes first.",Inflicts regular damage.,2,NA,0,fighting,40,30,1
183,scary-face,100,status,"The user frightens the target with a scary
face to harshly lower its Speed stat.",Lowers the target's Speed by two stages.,2,0,0,normal,NA,10,0
184,feint-attack,NA,physical,"The user approaches the target
disarmingly, then throws a sucker punch.
This attack never misses.",Inflicts regular damage.  Ignores accuracy and evasion modifiers.,2,NA,0,dark,60,20,0
185,sweet-kiss,75,status,"The user kisses the target with a sweet,
angelic cuteness that causes confusion.",Confuses the target.,2,NA,0,fairy,NA,10,0
186,belly-drum,NA,status,"The user maximizes its Attack stat in
exchange for HP equal to half its max HP.","User pays half its max HP to raise its Attack to +6 stages.  If the user cannot pay the HP cost, this move will fail.",2,NA,0,normal,NA,10,0
187,sludge-bomb,100,special,"Unsanitary sludge is hurled at the target.
This may also poison the target.",Inflicts regular damage.  Has a 30% chance to poison the target.,2,tm52,0,poison,90,10,0
188,mud-slap,100,special,"The user hurls mud in the target’s face to
inflict damage and lower its accuracy.",Inflicts regular damage.  Has a 100% chance to lower the target's accuracy by one stage.,2,tm31,0,ground,20,10,0
189,octazooka,85,special,"The user attacks by spraying ink in the
target’s face or eyes.
This may also lower the target’s accuracy.",Inflicts regular damage.  Has a 50% chance to lower the target's accuracy by one stage.,2,NA,0,water,65,10,0
190,spikes,NA,status,"The user lays a trap of spikes at the
opposing team’s feet. The trap hurts
Pokémon that switch into battle.","Scatters spikes around the opposing field, which damage opposing Pokémon that enter the field for 1/8 of their max HP.  Pokémon immune to ground moves are immune to this damage, except during gravity.  Up to three layers of spikes may be laid down, adding 1/16 to the damage done: two layers of spikes damage for 3/16 max HP, and three layers damage for 1/4 max HP.

wonder guard does not block damage from this effect.

rapid spin removes this effect from its user's side of the field.  defog removes this effect from its target's side of the field.",2,0,0,ground,NA,20,0
191,zap-cannon,50,special,"The user fires an electric blast like a
cannon to inflict damage and
cause paralysis.",Inflicts regular damage.  Has a 100% chance to paralyze the target.,2,tm07,0,electric,120,5,0
192,foresight,NA,status,"Enables a Ghost-type target to be hit by
Normal- and Fighting-type attacks. This also
enables an evasive target to be hit.",Resets the target's evasion to normal and prevents any further boosting until the target leaves the field.  A ghost under this effect takes normal damage from normal and fighting moves.  This move itself ignores accuracy and evasion modifiers.,2,NA,0,normal,NA,40,0
193,destiny-bond,NA,status,"When this move is used, if the user faints,
the Pokémon that landed the knockout
hit also faints.","If the user faints before its next move, the Pokémon that fainted it will automatically faint.  End-of-turn damage is ignored.

This move cannot be selected by assist or metronome.",2,NA,0,ghost,NA,5,0
194,perish-song,NA,status,"Any Pokémon that hears this song
faints in three turns, unless it switches
out of battle.","Every Pokémon is given a counter that starts at 3 and decreases by 1 at the end of every turn, including this one.  When a Pokémon's counter reaches zero, that Pokémon faints.  A Pokémon that leaves the field will lose its counter; its replacement does not inherit the effect, and other Pokémon's counters remain.

This effect is passed on by baton pass.

This move cannot be copied by mirror move.",2,NA,0,normal,NA,5,0
195,icy-wind,95,special,"The user attacks with a gust of chilled air.
This also lowers the opposing Pokémon’s
Speed stats.",Inflicts regular damage.  Has a 100% chance to lower the target's Speed by one stage.,2,tm16,0,ice,55,15,0
196,detect,NA,status,"Enables the user to evade all attacks.
Its chance of failing rises if it is used
in succession.","No moves will hit the user for the remainder of this turn.  If the user is last to act this turn, this move will fail.

If the user successfully used detect, endure, protect, quick guard, or wide guard on the last turn, this move has a 50% chance to fail.

lock on, mind reader, and no guard provide a (100 – accuracy)% chance for moves to break through this move.  This does not apply to one-hit KO moves (fissure, guillotine, horn drill, and sheer cold); those are always blocked by this move.

thunder during rain dance and blizzard during hail have a 30% chance to break through this move.

The following effects are not prevented by this move:

* acupressure from an ally
* curse's curse effect
* Delayed damage from doom desire and future sight; however, these moves will be prevented if they are used this turn
* feint, which will also end this move's protection after it hits
* imprison
* perish song
* shadow force
* Moves that merely copy the user, such as transform or psych up

This move cannot be selected by assist or metronome.",2,tm43,0,fighting,NA,5,4
197,bone-rush,90,physical,"The user strikes the target with a hard
bone two to five times in a row.","Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",2,NA,0,ground,25,10,0
198,lock-on,NA,status,"The user takes sure aim at the target.
This ensures the next attack does not
miss the target.","If the user targets the same target again before the end of the next turn, the move it uses is guaranteed to hit.  This move itself also ignores accuracy and evasion modifiers.

One-hit KO moves are also guaranteed to hit, as long as the user is equal or higher level than the target.  This effect also allows the user to hit Pokémon that are off the field due to moves such as dig or fly.

If the target uses detect or protect while under the effect of this move, the user is not guaranteed to hit, but has a (100 - accuracy)% chance to break through the protection.

This effect is passed on by baton pass.",2,NA,0,normal,NA,5,0
199,outrage,100,physical,"The user rampages and attacks for two
to three turns.
The user then becomes confused.","Inflicts regular damage.  User is forced to attack with this move for 2–3 turns,selected at random.  After the last hit, the user becomes confused.

safeguard does not protect against the confusion from this move.",2,tm39,0,dragon,120,10,0
200,sandstorm,NA,status,"A five-turn sandstorm is summoned
to hurt all combatants except the
Rock, Ground, and Steel types.","Changes the weather to a sandstorm for five turns.  Pokémon that are not ground, rock, or steel take 1/16 their max HP at the end of every turn.  Every rock Pokémon's original Special Defense is raised by 50% for the duration of this effect.

solar beam's power is halved.

moonlight, morning sun, and synthesis only heal 1/4 the user's max HP.",2,tm37,0,rock,NA,10,0
201,giga-drain,100,special,"A nutrient-draining attack. The user’s
HP is restored by half the damage
taken by the target.",Inflicts regular damage.  Drains half the damage inflicted to heal the user.,2,tm19,0,grass,75,10,0
202,endure,NA,status,"The user endures any attack with at least
1 HP. Its chance of failing rises if it is
used in succession.","The user's HP cannot be lowered below 1 by any means for the remainder of this turn.

If the user successfully used detect, endure, protect, quick guard, or wide guard on the last turn, this move has a 50% chance to fail.

This move cannot be selected by assist or metronome.",2,tm58,0,normal,NA,10,4
203,charm,100,status,"The user gazes at the target rather
charmingly, making it less wary.
This harshly lowers its Attack stat.",Lowers the target's Attack by two stages.,2,0,0,fairy,NA,20,0
204,rollout,90,physical,"The user continually rolls into the target
over five turns. It becomes more powerful
each time it hits.","Inflicts regular damage.  User is forced to use this move for five turns.  Power doubles every time this move is used in succession to a maximum of 16x, and resets to normal after the lock-in ends.  If this move misses or becomes unusable, the lock-in ends.

If the user has used defense curl since entering the field, this move has double power.",2,tm04,0,rock,30,20,0
205,false-swipe,100,physical,"A restrained attack that prevents the
target from fainting.
The target is left with at least 1 HP.",Inflicts regular damage.  Will not reduce the target's HP below 1.,2,tm54,0,normal,40,40,0
206,swagger,85,status,"The user enrages and confuses the target.
However, this also sharply raises the
target’s Attack stat.","Raises the target's Attack by two stages, then confuses it.  If the target's Attack cannot be raised by two stages, the confusion is not applied.",2,tm87,0,normal,NA,15,0
207,milk-drink,NA,status,"The user restores its own HP
by up to half of its max HP.
May also be used in the field to heal HP.",Heals the user for half its max HP.,2,NA,0,normal,NA,10,0
208,spark,100,physical,"The user throws an electrically charged
tackle at the target. This may also leave
the target with paralysis.",Inflicts regular damage.  Has a 30% chance to paralyze the target.,2,NA,0,electric,65,20,0
209,fury-cutter,95,physical,"The target is slashed with scythes or
claws. This attack becomes more powerful
if it hits in succession.","Inflicts regular damage.  Power doubles after every time this move is used, whether consecutively or not, maxing out at 16x.  If this move misses or the user leaves the field, power resets.",2,tm49,0,bug,40,20,0
210,steel-wing,90,physical,"The target is hit with wings of steel.
This may also raise the user’s Defense stat.",Inflicts regular damage. Has a 10% chance to raise the user's Defense one stage.,2,tm51,0,steel,70,25,0
211,mean-look,NA,status,"The user pins the target with a dark,
arresting look.
The target becomes unable to flee.","The target cannot switch out normally.  Ignores accuracy and evasion modifiers.  This effect ends when the user leaves the field.

The target may still escape by using baton pass, u turn, or a shed shell.

Both the user and the target pass on this effect with baton pass.",2,NA,0,normal,NA,5,0
212,attract,100,status,"If it is the opposite gender of the user,
the target becomes infatuated and less
likely to attack.","Causes the target to fall in love with the user, giving it a 50% chance to do nothing each turn.  If the user and target are the same gender, or either is genderless, this move will fail.  If either Pokémon leaves the field, this effect ends.",2,tm45,0,normal,NA,15,0
213,sleep-talk,NA,status,"While it is asleep, the user randomly uses
one of the moves it knows.","Only usable if the user is sleeping.  Randomly selects and uses one of the user's other three moves.  Use of the selected move requires and costs 0 PP.

This move will not select assist, bide, bounce, chatter, copycat, dig, dive, fly, focus punch, me first, metronome, mirror move, shadow force, skull bash, sky attack, sky drop, sleep talk, solar beam, razor wind, or uproar.

If the selected move requires a recharge turn—i.e., one of blast burn, frenzy plant, giga impact, hydro cannon, hyper beam, roar of time, or rock wrecker—and the user is still sleeping next turn, then it's forced to use this move again and pay another PP for the recharge turn.

This move cannot be copied by mirror move, nor selected by assist, metronome, or sleep talk.",2,tm88,0,normal,NA,10,0
214,heal-bell,NA,status,"The user makes a soothing bell chime
to heal the status conditions of all the
party Pokémon.",Removes major status effects and confusion from every Pokémon in the user's party.,2,NA,0,normal,NA,5,0
215,return,100,physical,"A full-power attack that grows more
powerful the more the user likes
its Trainer.","Inflicts regular damage.  Power increases with happiness, given by `happiness * 2 / 5`, to a maximum of 102.  Power bottoms out at 1.",2,tm27,0,normal,NA,20,0
216,present,90,physical,"The user attacks by giving the target a
gift with a hidden trap. It restores
HP sometimes, however.","Randomly uses one of the following effects.

Effect                                             | Chance
-------------------------------------------------- | -----:
Inflicts regular damage with 40 power  |    40%
Inflicts regular damage with 80 power  |    30%
Inflicts regular damage with 120 power |    10%
Heals the target for 1/4 its max HP    |    20%

On average, this move inflicts regular damage with 52 power and heals the target for 1/20 its max HP.",2,NA,0,normal,NA,15,0
217,frustration,100,physical,"A full-power attack that grows more
powerful the less the user likes
its Trainer.","Inflicts regular damage.  Power increases inversely with happiness, given by `(255 - happiness) * 2 / 5`, to a maximum of 102.  Power bottoms out at 1.",2,tm21,0,normal,NA,20,0
218,safeguard,NA,status,"The user creates a protective field
that prevents status conditions
for five turns.","Protects Pokémon on the user's side of the field from major status effects and confusion for five turns.  Does not cancel existing ailments.  This effect remains even if the user leaves the field.

If yawn is used while this move is in effect, it will immediately fail.

defog used by an opponent will end this effect.

This effect does not prevent the confusion caused by outrage, petal dance, or thrash.",2,tm20,0,normal,NA,25,0
219,pain-split,NA,status,"The user adds its HP to the target’s HP,
then equally shares the combined HP
with the target.","Changes the user's and target's remaining HP to the average of their current remaining HP.  Ignores accuracy and evasion modifiers.  This effect does not count as inflicting damage for other moves and effects that respond to damage taken.

This effect fails against a substitute.",2,NA,0,normal,NA,20,0
220,sacred-fire,95,physical,"The target is razed with a mystical fire
of great intensity. This may also leave the
target with a burn.","Inflicts regular damage.  Has a 50% chance to burn the target.  Frozen Pokémon may use this move, in which case they will thaw.",2,NA,0,fire,100,5,0
221,magnitude,100,physical,"The user attacks everything around it
with a ground-shaking quake.
Its power varies.","Inflicts regular damage.  Power is selected at random between 10 and 150, with an average of 71:

Magnitude | Power | Chance
--------: | ----: | -----:
        4 |    10 |     5%
        5 |    30 |    10%
        6 |    50 |    20%
        7 |    70 |    30%
        8 |    90 |    20%
        9 |   110 |    10%
       10 |   150 |     5%

This move has double power against Pokémon currently underground due to dig.",2,NA,0,ground,NA,30,0
222,dynamic-punch,50,physical,"The user punches the target with full,
concentrated power.
This confuses the target if it hits.",Inflicts regular damage.  Has a 100% chance to confuse the target.,2,tm01,0,fighting,100,5,0
223,megahorn,85,physical,"Using its tough and impressive horn,
the user rams into the target
with no letup.",Inflicts regular damage.,2,tm60,0,bug,120,10,0
224,dragon-breath,100,special,"The user exhales a mighty gust that
inflicts damage. This may also leave the
target with paralysis.",Inflicts regular damage.  Has a 30% chance to paralyze the target.,2,tm24,0,dragon,60,20,0
225,baton-pass,NA,status,"The user switches places with a party
Pokémon in waiting and passes along
any stat changes.","User switches out, and the trainer selects a replacement Pokémon from the party.  Stat changes, confusion, and persistent move effects are passed along to the replacement Pokémon.

The following move effects are passed:

* aqua ring
* both the user's and target's effect of block, mean look, and spider web
* the curse effect of curse
* embargo
* focus energy or an activated lansat berry
* gastro acid
* ingrain
* being sapped by leech seed
* being targeted by lock on or mind reader
* magnet rise
* perish song's counter
* power trick
* substitute; the doll's HP is unchanged

The replacement Pokémon does not trigger effects that respond to Pokémon switching in.",2,0,0,normal,NA,40,0
226,encore,100,status,"The user compels the target
to keep using only the move
it last used for three turns.","The next 4–8 times (selected at random) the target attempts to move, it is forced to repeat its last used move.  If the selected move allows the trainer to select a target, an opponent will be selected at random each turn.  If the target is prevented from using the selected move by some other effect, struggle will be used instead.  This effect ends if the selected move runs out of PP.

If the target hasn't used a move since entering the field, if it tried to use a move this turn and failed, if it does not know the selected move, or if the selected move has 0 PP remaining, this move will fail.  If the target's last used move was encore, mimic, mirror move, sketch, struggle, or transform, this move will fail.",2,0,0,normal,NA,5,0
227,pursuit,100,physical,"An attack move that inflicts double damage
if used on a target that is switching out
of battle.","Inflicts regular damage.  If the target attempts to switch out this turn before the user acts, this move hits the target before it leaves and has double power.

This effect can still hit a Pokémon that switches out when it has a substitute up or when an ally has used follow me.",2,NA,0,dark,40,20,0
228,rapid-spin,100,physical,"A spin attack that can also eliminate
such moves as Bind, Wrap, Leech Seed,
and Spikes.","Inflicts regular damage.  Removes leech seed from the user, frees the user from bind, clamp, fire spin, magma storm, sand tomb, whirlpool, and wrap, and clears spikes, stealth rock, and toxic spikes from the user's side of the field.  If this move misses or has no effect, its effect doesn't activate.",2,NA,0,normal,50,40,0
229,sweet-scent,100,status,"A sweet scent that harshly lowers opposing
Pokémon’s evasiveness. This also lures wild
Pokémon if used in places such as tall grass.",Lowers the target's evasion by one stage.,2,tm12,0,normal,NA,20,0
230,iron-tail,75,physical,"The target is slammed with a steel-hard
tail. This may also lower the target’s
Defense stat.",Inflicts regular damage.  Has a 30% chance to lower the target's Defense by one stage.,2,tm23,0,steel,100,15,0
231,metal-claw,95,physical,"The target is raked with steel claws.
This may also raise the user’s Attack stat.",Inflicts regular damage. Has a 10% chance to raise the user's Attack one stage.,2,NA,0,steel,50,35,0
232,vital-throw,NA,physical,"The user attacks last. In return, this throw
move never misses.",Inflicts regular damage.  Ignores accuracy and evasion modifiers.,2,NA,0,fighting,70,10,-1
233,morning-sun,NA,status,"The user restores its own HP.
The amount of HP regained varies
with the weather.","Heals the user for half its max HP.

During sunny day, the healing is increased to 2/3 max HP.

During hail, rain dance, or sandstorm, the healing is decreased to 1/4 max HP.",2,NA,0,normal,NA,5,0
234,synthesis,NA,status,"The user restores its own HP.
The amount of HP regained varies
with the weather.","Heals the user for half its max HP.

During sunny day, the healing is increased to 2/3 max HP.

During hail, rain dance, or sandstorm, the healing is decreased to 1/4 max HP.",2,NA,0,grass,NA,5,0
235,moonlight,NA,status,"The user restores its own HP.
The amount of HP regained varies
with the weather.","Heals the user for half its max HP.

During sunny day, the healing is increased to 2/3 max HP.

During hail, rain dance, or sandstorm, the healing is decreased to 1/4 max HP.",2,NA,0,fairy,NA,5,0
236,hidden-power,100,special,"A unique attack that varies in type
depending on the Pokémon using it.
","Inflicts regular damage.  Power and type are determined by the user's IVs.

Power is given by `x * 40 / 63 + 30`.  `x` is obtained by arranging bit 1 from the IV for each of Special Defense, Special Attack, Speed, Defense, Attack, and HP in that order.  (Bit 1 is 1 if the IV is of the form `4n + 2` or `4n + 3`.  `x` is then 64 * Special Defense IV bit 1, plus 32 * Special Attack IV bit 1, etc.)

Power is always between 30 and 70, inclusive.  Average power is 49.5.

Type is given by `y * 15 / 63`, where `y` is similar to `x` above, except constructed from bit 0.  (Bit 0 is 1 if the IV is odd.)  The result is looked up in the following table.

Value | Type
----: | --------
    0 | fighting
    1 | flying
    2 | poison
    3 | ground
    4 | rock
    5 | bug
    6 | ghost
    7 | steel
    8 | fire
    9 | water
   10 | grass
   11 | electric
   12 | psychic
   13 | ice
   14 | dragon
   15 | dark

This move thus cannot be normal.  Most other types have an equal 1/16 chance to be selected, given random IVs.  However, due to the flooring used here, bug, fighting, and grass appear 5/64 of the time, and dark only 1/64 of the time.",2,tm10,0,normal,60,15,0
237,cross-chop,80,physical,"The user delivers a double chop with its
forearms crossed.
Critical hits land more easily.",Inflicts regular damage.  User's critical hit rate is one level higher when using this move.,2,NA,1,fighting,100,5,0
238,twister,100,special,"The user whips up a vicious tornado
to tear at the opposing Pokémon.
This may also make them flinch.","Inflicts regular damage.  Has a 20% chance to make each target flinch.

If the target is under the effect of bounce, fly, or sky drop, this move will hit with double power.",2,NA,0,dragon,40,20,0
239,rain-dance,NA,status,"The user summons a heavy rain
that falls for five turns,
powering up Water-type moves.","Changes the weather to rain for five turns, during which water moves inflict 50% extra damage, and fire moves inflict half damage.

If the user is holding damp rock, this effect lasts for eight turns.

thunder has 100% accuracy.  If the target has used detect or protect, thunder has a (100 - accuracy)% chance to break through the protection.

solar beam has half power.

moonlight, morning sun, and synthesis heal only 1/4 of the user's max HP.

Pokémon with swift swim have doubled original Speed.

Pokémon with forecast become water.

Pokémon with dry skin heal 1/8 max HP, Pokémon with hydration are cured of major status effects, and Pokémon with rain dish heal 1/16 max HP at the end of each turn.",2,tm18,0,water,NA,5,0
240,sunny-day,NA,status,"The user intensifies the sun
for five turns, powering up
Fire-type moves.","Changes the weather to sunshine for five turns, during which fire moves inflict 50% extra damage, and water moves inflict half damage.

If the user is holding heat rock, this effect lasts for eight turns.

Pokémon cannot become frozen.

thunder has 50% accuracy.

solar beam skips its charge turn.

moonlight, morning sun, and synthesis heal 2/3 of the user's max HP.

Pokémon with chlorophyll have doubled original Speed.

Pokémon with forecast become fire.

Pokémon with leaf guard are not affected by major status effects.

Pokémon with flower gift change form; every Pokémon on their side of the field have their original Attack and Special Attack increased by 50%.

Pokémon with dry skin lose 1/8 max HP at the end of each turn.

Pokémon with solar power have their original Special Attack raised by 50% but lose 1/8 their max HP at the end of each turn.",2,tm11,0,fire,NA,5,0
241,crunch,100,physical,"The user crunches up the target
with sharp fangs. This may also lower
the target’s Defense stat.",Inflicts regular damage.  Has a 20% chance to lower the target's Defense by one stage.,2,0,0,dark,80,15,0
242,mirror-coat,100,special,"A retaliation move that counters any
special attack, inflicting double the
damage taken.","Targets the last opposing Pokémon to hit the user with a special move this turn.  Inflicts twice the damage that move did to the user.  If there is no eligible target, this move will fail.  Type immunity applies, but other type effects are ignored.

This move cannot be copied by mirror move, nor selected by assist or metronome.",2,NA,0,psychic,NA,20,-5
243,psych-up,NA,status,"The user hypnotizes itself into
copying any stat change made
by the target.","Discards the user's stat changes and copies the target's.

This move cannot be copied by mirror move.",2,tm77,0,normal,NA,10,0
244,extreme-speed,100,physical,"The user charges the target at blinding
speed. This move always goes first.",Inflicts regular damage.,2,NA,0,normal,80,5,2
245,ancient-power,100,special,"The user attacks with a prehistoric power.
This may also raise all the user’s stats
at once.",Inflicts regular damage. Has a 10% chance to raise all of the user's stats one stage.,2,NA,0,rock,60,5,0
246,shadow-ball,100,special,"The user hurls a shadowy blob at the
target. This may also lower the target’s
Sp. Def stat.",Inflicts regular damage.  Has a 20% chance to lower the target's Special Defense by one stage.,2,tm43,0,ghost,80,15,0
247,future-sight,100,special,"Two turns after this move is used,
a hunk of psychic energy
attacks the target.","Inflicts typeless regular damage at the end of the third turn, starting with this one.  This move cannot score a critical hit.  If the target switches out, its replacement will be hit instead.  Damage is calculated at the time this move is used; stat changes and switching out during the delay won't change the damage inflicted.  No move with this effect can be used against the same target again until after the end of the third turn.

This effect breaks through wonder guard.

If the target is protected by protect or detect on the turn this move is used, this move will fail.  However, the damage on the third turn will break through protection.

The damage is applied at the end of the turn, so it ignores endure and focus sash.

This move cannot be copied by mirror move.",2,0,0,psychic,120,10,0
248,rock-smash,100,physical,"The user attacks with a punch.
This may also lower the target’s Defense stat.
This move can also shatter rocks in the field.",Inflicts regular damage.  Has a 50% chance to lower the target's Defense by one stage.,2,hm06,0,fighting,40,15,0
249,whirlpool,85,special,"The user traps the target in a violent swirling
whirlpool for four to five turns.","Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

If the target is in the first turn of dive, this move will hit with double power.",2,hm06,0,water,35,15,0
250,beat-up,100,physical,"The user gets all party Pokémon to attack
the target. The more party Pokémon,
the greater the number of attacks.","Inflicts typeless regular damage.  Every Pokémon in the user's party, excepting those that have fainted or have a major status effect, attacks the target.  Calculated stats are ignored; the base stats for the target and assorted attackers are used instead.  The random factor in the damage formula is not used.  dark Pokémon still get STAB.

This effect breaks through wonder guard.",2,0,0,dark,NA,10,0
251,fake-out,100,physical,"An attack that hits first and makes the
target flinch. It only works the first turn
the user is in battle.",Inflicts regular damage.  Causes the target to flinch.  Can only be used on the user's first turn after entering the field.,3,NA,0,normal,40,10,3
252,uproar,100,special,"The user attacks in an uproar for
three turns. During that time,
no one can fall asleep.","Inflicts regular damage.  User is forced to use this move for 2–5 turns, selected at random.  All Pokémon on the field wake up, and none can fall to sleep until the lock-in ends.

Pokémon cannot use rest during this effect.

This move cannot be selected by sleep talk.",3,0,0,normal,90,10,0
253,stockpile,NA,status,"The user charges up power and raises
both its Defense and Sp. Def stats.
The move can be used three times.","Raises the user's Defense and Special Defense by one stage each.  Stores energy for use with spit up and swallow.  Up to three levels of energy can be stored, and all are lost if the user leaves the field.  Energy is still stored even if the stat boosts cannot be applied.

If the user uses baton pass, the stat boosts are passed as normal, but the stored energy is not.",3,NA,0,normal,NA,20,0
