,name,generation,effects,description
111,slow-start,4,"This Pokémon's Attack and Speed are halved for five turns upon entering battle.

This ability also takes effect when acquired during battle.  If this Pokémon loses its ability before the five turns are up, its Attack and Speed return to normal; if it then regains this ability without leaving battle, its Attack and Speed are halved again, but the counter keeps counting from where it was.","Temporarily halves Attack
and Speed."
112,scrappy,4,"This Pokémon ignores ghost-type Pokémon's immunity to normal- and fighting-type moves.

Ghost Pokémon's other types affect damage as usual.","Enables moves to hit
Ghost-type foes."
113,storm-drain,4,"All other Pokémon's single-target water-type moves are redirected to this Pokémon, if it is an eligible target.  Other Pokémon's Water moves raise this Pokémon's Special Attack one stage, negating any other effect on it, and cannot miss it.

If the move's intended target also has this ability, the move is not redirected.  When multiple Pokémon with this ability are possible targets for redirection, the move is redirected to the one with the highest Speed stat, or, in the case of a tie, to a random tied Pokémon.  follow me takes precedence over this ability.","The Pokémon draws in all
Water-type moves."
114,ice-body,4,"This Pokémon heals for 1/16 of its maximum HP after each turn during hail, and it does not take hail damage regardless of type.","The Pokémon regains HP in
a hailstorm."
115,solid-rock,4,"This Pokémon takes 0.75× as much damage from moves that are super effective against it.

This ability functions identically to filter.","Reduces damage from
supereffective attacks."
116,snow-warning,4,"The weather changes to hail when this Pokémon enters battle and does not end unless cancelled by another weather condition.

If multiple Pokémon with this ability, drizzle, drought, or sand stream are sent out at the same time, the abilities will activate in order of Speed, respecting trick room.  Each ability's weather will cancel the previous weather, and only the weather summoned by the slowest of the Pokémon will stay.","The Pokémon summons a
hailstorm in battle."
117,honey-gather,4,"This Pokémon has a chance of picking up honey after each battle.  This chance starts at 5% and rises another 5% after every tenth level: 5% from level 1–10, 10% from 11–20, and so on, up to 50% from 91–100.

This ability is checked after the battle ends, at which point any temporary ability changes have worn off.","The Pokémon may gather
Honey from somewhere."
118,frisk,4,"When this Pokémon enters battle, it reveals an opposing Pokémon's held item to all participating trainers.

In a double battle, if one opponent has an item, this Pokémon will Frisk that Pokémon; if both have an item, it will Frisk one at random.","The Pokémon can check
the foe’s held item."
119,reckless,4,"This Pokémon's recoil moves and crash moves have 1.2× their base power.

struggle is unaffected.

The ""crash moves"" are the moves that damage the user upon missing: jump kick and high jump kick.","Powers up moves that
have recoil damage."
120,multitype,4,"If this Pokémon is holding an elemental Plate, its type and form change to match the Plate.

This Pokémon's held item, whether or not it is a Plate, cannot be taken by covet or thief, nor removed by knock off, nor traded by switcheroo or trick.  Covet, Thief, and Knock Off still inflict damage against this Pokémon.  Unlike with sticky hold, this Pokémon cannot use fling, Switcheroo, or Trick to lose its item itself, nor gain an item through Switcheroo or Trick if it does not have one.

This ability has no effect for any Pokémon other than arceus.  This ability cannot be traded with skill swap, nor copied with role play or trace, nor disabled with gastro acid, nor changed with worry seed.  This Pokémon cannot use Skill Swap or Role Play to lose its ability itself.  mold breaker cannot ignore this ability.

If a Pokémon Transforms into an Arceus with this ability, it will Transform into Arceus's default, normal-type form.  If the Transforming Pokémon is holding a Plate, this ability will then activate and change the Pokémon into the corresponding form.","Changes type to match
the held Plate."
121,flower-gift,4,"Friendly Pokémon have 1.5× their Attack and Special Defense during strong sunlight if any friendly Pokémon has this ability.

Unlike forecast, multitype, and zen mode, this ability is not tied to its Pokémon's form change; cherrim will switch between its forms even if it loses this ability.  As such, this ability also works if obtained by a Pokémon other than Cherrim.","Powers up party Pokémon
when it is sunny."
122,stench,3,"This Pokémon's damaging moves have a 10% chance to make the target flinch with each hit if they do not already cause flinching as a secondary effect.

This ability does not stack with a held item.

Overworld: The wild encounter rate is halved while this Pokémon is first in the party.",Helps repel wild POKéMON.
123,drizzle,3,"The weather changes to rain when this Pokémon enters battle and does not end unless replaced by another weather condition.

If multiple Pokémon with this ability, drought, sand stream, or snow warning are sent out at the same time, the abilities will activate in order of Speed, respecting trick room.  Each ability's weather will cancel the previous weather, and only the weather summoned by the slowest of the Pokémon will stay.",Summons rain in battle.
124,speed-boost,3,This Pokémon's Speed rises one stage after each turn.,Gradually boosts SPEED.
125,battle-armor,3,"Moves cannot score critical hits against this Pokémon.

This ability functions identically to shell armor.",Blocks critical hits.
126,sturdy,3,"When this Pokémon is at full HP, any hit that would knock it out will instead leave it with 1 HP.  Regardless of its current HP, it is also immune to the one-hit KO moves: fissure, guillotine, horn drill, and sheer cold.

If this Pokémon is holding a focus sash, this ability takes precedence and the item will not be consumed.",Negates 1-hit KO attacks.
127,damp,3,"While this Pokémon is in battle, self destruct and explosion will fail and aftermath will not take effect.",Prevents self-destruction.
128,limber,3,"This Pokémon cannot be paralyzed.

If a Pokémon is paralyzed and acquires this ability, its paralysis is healed; this includes when regaining a lost ability upon leaving battle.",Prevents paralysis.
129,sand-veil,3,"During a sandstorm, this Pokémon has 1.25× its evasion, and it does not take sandstorm damage regardless of type.

The evasion bonus does not count as a stat modifier.

Overworld: If the lead Pokémon has this ability, the wild encounter rate is halved in a sandstorm.",Ups evasion in a sandstorm.
130,static,3,"Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being paralyzed.

Pokémon that are immune to electric-type moves can still be paralyzed by this ability.

Overworld: If the lead Pokémon has this ability, there is a 50% chance that encounters will be with an electric Pokémon, if applicable.",Paralyzes on contact.
131,volt-absorb,3,"Whenever an electric-type move hits this Pokémon, it heals for 1/4 of its maximum HP, negating any other effect on it.

This ability will not take effect if this Pokémon is ground-type and thus immune to Electric moves.  Electric moves will ignore this Pokémon's substitute.

This effect includes non-damaging moves, i.e. thunder wave.",Turns electricity into HP.
132,water-absorb,3,"Whenever a water-type move hits this Pokémon, it heals for 1/4 of its maximum HP, negating any other effect on it.

Water moves will ignore this Pokémon's substitute.",Changes water into HP.
133,oblivious,3,"This Pokémon cannot be infatuated and is immune to captivate.

If a Pokémon is infatuated and acquires this ability, its infatuation is cleared.",Prevents attraction.
134,cloud-nine,3,"While this Pokémon is in battle, weather can still be in play, but will not have any of its effects.

This ability functions identically to air lock.",Negates weather effects.
135,compound-eyes,3,"This Pokémon's moves have 1.3× their accuracy.

This ability has no effect on the one-hit KO moves (fissure, guillotine, horn drill, and sheer cold).

Overworld: If the first Pokémon in the party has this ability, the chance of a wild Pokémon holding a particular item is raised from 50%, 5%, or 1% to 60%, 20%, or 5%, respectively.",Raises accuracy.
136,insomnia,3,"This Pokémon cannot be asleep.

This causes rest to fail altogether.  If a Pokémon is asleep and acquires this ability, it will immediately wake up; this includes when regaining a lost ability upon leaving battle.

This ability functions identically to vital spirit in battle.",Prevents sleep.
137,color-change,3,"Whenever this Pokémon takes damage from a move, the Pokémon's type changes to match the move.

If the Pokémon has two types, both are overridden.  The Pokémon must directly take damage; for example, moves blocked by a substitute will not trigger this ability, nor will moves that deal damage indirectly, such as spikes.

This ability takes effect on only the last hit of a multiple-hit attack.

In Pokémon Colosseum and XD: Gale of Darkness, this ability does not take effect on Shadow-type moves.",Changes type to foe’s move.
138,immunity,3,"This Pokémon cannot be poisoned.  This includes bad poison.

If a Pokémon is poisoned and acquires this ability, its poison is healed; this includes when regaining a lost ability upon leaving battle.",Prevents poisoning.
139,flash-fire,3,"This Pokémon is immune to fire-type moves.  Once this Pokémon has been hit by a Fire move, its own Fire moves will inflict 1.5× as much damage until it leaves battle.

This ability has no effect while the Pokémon is frozen.  The Fire damage bonus is retained even if the Pokémon is frozen and thawed or the ability is lost or disabled.  Fire moves will ignore this Pokémon's substitute.  This ability takes effect even on non-damaging moves, i.e. will o wisp.",Powers up if hit by fire.
140,shield-dust,3,"This Pokémon is immune to the extra effects of moves used against it.

An extra effect is a move's chance, listed as an ""effect chance"", to inflict a status ailment, cause a stat change, or make the target flinch in addition to the move's main effect.  For example, thunder shock's paralysis is an extra effect, but thunder wave's is not, nor are knock off's item removal and air cutter's increased critical hit rate.",Prevents added effects.
141,own-tempo,3,"This Pokémon cannot be confused.

If a Pokémon is confused and acquires this ability, its confusion will immediately be healed.",Prevents confusion.
142,suction-cups,3,"This Pokémon cannot be forced out of battle by moves such as whirlwind.

dragon tail and circle throw still inflict damage against this Pokémon.

Overworld: If the lead Pokémon has this ability, the success rate while fishing is increased.",Firmly anchors the body.
143,intimidate,3,"When this Pokémon enters battle, the opponent's Attack is lowered by one stage.  In a double battle, both opponents are affected.

This ability also takes effect when acquired during a battle, but will not take effect again if lost and reobtained without leaving battle.

This ability has no effect on an opponent that has a substitute.

Overworld: If the first Pokémon in the party has this ability, any random encounter with a Pokémon five or more levels lower than it has a 50% chance of being skipped.",Lowers the foe’s ATTACK.
144,shadow-tag,3,"While this Pokémon is in battle, opposing Pokémon cannot flee or switch out.

Other Pokémon with this ability are unaffected.  Pokémon with run away can still flee.  Pokémon can still switch out with the use of a move or item.",Prevents the foe’s escape.
145,rough-skin,3,"Whenever a move makes contact with this Pokémon, the move's user takes 1/8 of its maximum HP in damage.

This ability functions identically to iron barbs.",Hurts to touch.
146,wonder-guard,3,"This Pokémon is immune to damaging moves that are not super effective against it.

Moves that inflict fixed damage, such as night shade or seismic toss, are considered super effective if their types are.  Damage not directly dealt by moves, such as damage from weather, a status ailment, or spikes, is not prevented.

This ability cannot be copied with role play or traded away with skill swap, but it can be copied with trace, disabled with gastro acid, or changed with worry seed.  This Pokémon can still use Role Play itself to lose this ability, but not Skill Swap.

If this Pokémon has a substitute, this ability will block moves as usual and any moves not blocked will react to the Substitute as usual.",“Super effective” hits.
147,levitate,3,"This Pokémon is immune to ground-type moves, spikes, toxic spikes, and arena trap.

This ability is disabled during gravity or ingrain, or while holding an iron ball.  This ability is not disabled during roost.",Not hit by GROUND attacks.
148,effect-spore,3,"Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being paralyzed, poisoned, or put to sleep, chosen at random.

Nothing is done to compensate if the move's user is immune to one of these ailments; there is simply a lower chance that the move's user will be affected.",Leaves spores on contact.
149,synchronize,3,"Whenever this Pokémon is burned, paralyzed, or poisoned, the Pokémon who gave this Pokémon that ailment is also given the ailment.

This ability passes back bad poison when this Pokémon is badly poisoned.  This ability cannot pass on a status ailment that the Pokémon did not directly receive from another Pokémon, such as the poison from toxic spikes or the burn from a flame orb.

Overworld: If the lead Pokémon has this ability, wild Pokémon have a 50% chance of having the lead Pokémon's nature, and a 50% chance of being given a random nature as usual, including the lead Pokémon's nature.  This does not work on Pokémon received outside of battle or roaming legendaries.",Passes on status problems.
150,clear-body,3,"This Pokémon cannot have its stats lowered by other Pokémon.

This ability does not prevent any stat losses other than stat modifiers, such as the Speed cut from paralysis.  This Pokémon can still be passed negative stat modifiers through guard swap, heart swap, or power swap.

This ability functions identically to white smoke in battle.",Prevents ability reduction.
151,natural-cure,3,"This Pokémon is cured of any major status ailment when it is switched out for another Pokémon.

If this ability is acquired during battle, the Pokémon is cured upon leaving battle before losing the temporary ability.",Heals upon switching out.
152,lightning-rod,3,"All other Pokémon's single-target electric-type moves are redirected to this Pokémon if it is an eligible target.  Other Pokémon's Electric moves raise this Pokémon's Special Attack one stage, negating any other effect on it, and cannot miss it.

If the move's intended target also has this ability, the move is not redirected.  When multiple Pokémon with this ability are possible targets for redirection, the move is redirected to the one with the highest Speed stat, or, in the case of a tie, to a random tied Pokémon.  follow me takes precedence over this ability.

If the Pokémon is a ground-type and thus immune to Electric moves, its immunity prevents the Special Attack boost.",Draws electrical moves.
153,serene-grace,3,"This Pokémon's moves have twice their usual effect chance.

An effect chance is a move's chance to inflict a status ailment, cause a stat change, or make the target flinch in addition to the move's main effect.  For example, flamethrower's chance of burning the target is doubled, but protect's chance of success and air cutter's increased critical hit rate are unaffected.

secret power is unaffected.",Promotes added effects.
154,swift-swim,3,"This Pokémon's Speed is doubled during rain.

This bonus does not count as a stat modifier.",Raises SPEED in rain.
155,chlorophyll,3,"This Pokémon's Speed is doubled during strong sunlight.

This bonus does not count as a stat modifier.",Raises SPEED in sunshine.
156,illuminate,3,"Overworld: If the lead Pokémon has this ability, the wild encounter rate is doubled.

This ability has no effect in battle.",Encounter rate increases.
157,trace,3,"When this Pokémon enters battle, it copies a random opponent's ability.

This ability cannot copy flower gift, forecast, illusion, imposter, multitype, trace, wonder guard, or zen mode.",Copies special ability.
158,huge-power,3,"This Pokémon's Attack is doubled while in battle.

This bonus does not count as a stat modifier.

This ability functions identically to pure power.",Raises ATTACK.
159,poison-point,3,"Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being poisoned.",Poisons foe on contact.
160,inner-focus,3,This Pokémon cannot flinch.,Prevents flinching.
161,magma-armor,3,"This Pokémon cannot be frozen.

If a Pokémon is frozen and acquires this ability, it will immediately thaw out; this includes when regaining a lost ability upon leaving battle.

Overworld: If any Pokémon in the party has this ability, each egg in the party has its hatch counter decreased by 2 (rather than 1) each step cycle, making eggs hatch roughly twice as quickly.  This effect does not stack if multiple Pokémon have this ability or flame body.",Prevents freezing.
162,water-veil,3,"This Pokémon cannot be burned.

If a Pokémon is burned and acquires this ability, its burn is healed; this includes when regaining a lost ability upon leaving battle.",Prevents burns.
163,magnet-pull,3,"While this Pokémon is in battle, opposing steel-type Pokémon cannot flee or switch out.

Pokémon with run away can still flee.  Pokémon can still switch out with the use of a move or item.

Overworld: If the lead Pokémon has this ability, Steel-type Pokémon have a higher encounter rate.",Traps STEEL-type POKéMON.
164,soundproof,3,"This Pokémon is immune to moves flagged as being sound-based.

heal bell is unaffected.  uproar still prevents this Pokémon from sleeping.  This Pokémon can still receive a Perish Song counter through baton pass, and will retain a Perish Song counter if it acquires this ability after Perish Song is used.

howl, roar of time, sonic boom, and yawn are not flagged as sound-based.",Avoids sound-based moves.
165,rain-dish,3,This Pokémon heals for 1/16 of its maximum HP after each turn during rain.,Slight HP recovery in rain.
166,sand-stream,3,"The weather changes to a sandstorm when this Pokémon enters battle and does not end unless cancelled by another weather condition.

If multiple Pokémon with this ability, drizzle, drought, or snow warning are sent out at the same time, the abilities will activate in order of Speed, respecting trick room.  Each ability's weather will cancel the previous weather, and only the weather summoned by the slowest of the Pokémon will stay.

Overworld: If the lead Pokémon has this ability, the wild encounter rate is halved in a sandstorm.",Summons a sandstorm.
167,pressure,3,"Moves targetting this Pokémon use one extra PP.

This ability stacks if multiple targets have it.  This ability still affects moves that fail or miss.  This ability does not affect ally moves that target either the entire field or just its side, nor this Pokémon's self-targetted moves; it does, however, affect single-targetted ally moves aimed at this Pokémon, ally moves that target all other Pokémon, and opponents' moves that target the entire field.  If this ability raises a move's PP cost above its remaining PP, it will use all remaining PP.

When this Pokémon enters battle, all participating trainers are notified that it has this ability.

Overworld: If the lead Pokémon has this ability, higher-levelled Pokémon have their encounter rate increased.",Raises foe’s PP usage.
168,thick-fat,3,This Pokémon takes half as much damage from fire- and ice-type moves.,Heat-and-cold protection.
169,early-bird,3,"This Pokémon's remaining sleep turn count falls by 2 rather than 1.

If this Pokémon's sleep counter is at 1, it will fall to 0 and then the Pokémon will wake up.",Awakens quickly from sleep.
170,flame-body,3,"Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being burned.

Overworld: If any Pokémon in the party has this ability, each egg in the party has its hatch counter decreased by 2 (rather than 1) each step cycle, making eggs hatch roughly twice as quickly.  This effect does not stack if multiple Pokémon have this ability or magma armor.",Burns the foe on contact.
171,run-away,3,"This Pokémon is always successful fleeing from wild battles, even if trapped by a move or ability.",Makes escaping easier.
172,keen-eye,3,"This Pokémon cannot have its accuracy lowered.

This ability does not prevent any accuracy losses other than stat modifiers, such as the accuracy cut from fog; nor does it prevent other Pokémon's evasion from making this Pokémon's moves less accurate.  This Pokémon can still be passed negative accuracy modifiers through heart swap.

Overworld: If the first Pokémon in the party has this ability, any random encounter with a Pokémon five or more levels lower than it has a 50% chance of being skipped.",Prevents loss of accuracy.
173,hyper-cutter,3,"This Pokémon's Attack cannot be lowered by other Pokémon.

This ability does not prevent any Attack losses other than stat modifiers, such as the Attack cut from a burn.  This Pokémon can still be passed negative Attack modifiers through heart swap or power swap.",Prevents ATTACK reduction.
174,pickup,3,"At the end of each turn, if another Pokémon consumed or Flung a held item that turn, this Pokémon picks up the item if it is not already holding one.  After each battle, this Pokémon has a 10% chance of picking up an item if it is not already holding one.

The air balloon and eject button cannot be picked up.

The items that may be found vary by game, and, since Pokémon Emerald, by the Pokémon's level.  This ability is checked after the battle ends, at which point any temporary ability changes have worn off.",May pick up items.
175,truant,3,"Every second turn on which this Pokémon should attempt to use a move, it will instead do nothing (""loaf around"").

Loafing around interrupts moves that take multiple turns the same way paralysis, flinching, etc do.  Most such moves, for example bide or rollout, are simply cut off upon loafing around.  Attacks with a recharge turn, such as hyper beam, do not have to recharge; attacks with a preparation turn, such as fly, do not end up being used.  Moves that are forced over multiple turns and keep going through failure, such as outrage, uproar, or any move forced by encore, keep going as usual.

If this Pokémon is confused, its confusion is not checked when loafing around; the Pokémon cannot hurt itself, and its confusion does not end or come closer to ending.

If this Pokémon attempts to move but fails, e.g. because of paralysis or gravity, it still counts as having moved and will loaf around the next turn.  If it does not attempt to move, e.g. because it is asleep or frozen, whatever it would have done will be postponed until its next attempt; that is, it will either loaf around or move as usual, depending on what it last did.

This ability cannot be changed with worry seed, but it can be disabled with gastro acid, changed with role play, or traded away with skill swap.",Moves only every two turns.
176,hustle,3,"This Pokémon's physical moves do 1.5× as much regular damage, but have 0.8× their usual accuracy.

Special moves are unaffected.  Moves that do set damage, such as seismic toss, have their accuracy affected, but not their damage.

Overworld: If the lead Pokémon has this ability, higher-levelled Pokémon have their encounter rate increased.",Trades accuracy for power.
177,cute-charm,3,"Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being infatuated.

Overworld: If the first Pokémon in the party has this ability, any wild Pokémon whose species can be either gender has a 2/3 chance of being set to the opposite gender, and a 1/3 chance of having a random gender as usual.",Infatuates on contact.
178,plus,3,"This Pokémon has 1.5× its Special Attack if any friendly Pokémon has plus or minus.

This bonus does not count as a stat modifier.  If either ability is disabled by gastro acid, both lose their effect.",Powers up with MINUS.
179,minus,3,"This Pokémon has 1.5× its Special Attack if any friendly Pokémon has plus or minus.

This bonus does not count as a stat modifier.  If either ability is disabled by gastro acid, both lose their effect.",Powers up with PLUS.
180,forecast,3,"During rain, strong sunlight, or hail, this Pokémon's type changes to water, fire, or ice, respectively, and its form changes to match.

This ability has no effect for any Pokémon other than castform.

If the weather ends or becomes anything that does not trigger this ability, or a Pokémon with air lock or cloud nine enters battle, this Pokémon's type and form revert to their default.  If this ability is lost or disabled, this Pokémon cannot change its current type and form until it regains its ability.",Changes with the weather.
181,sticky-hold,3,"This Pokémon's hold item cannot be removed by other Pokémon.

Damaging moves that would remove this Pokémon's item can still inflict damage against this Pokémon, e.g. knock off or pluck.  This Pokémon can still use moves that involve the loss of its own item, e.g. fling or trick.

Overworld: If the lead Pokémon has this ability, the encounter rate while fishing is increased.",Prevents item theft.
182,shed-skin,3,"After each turn, this Pokémon has a 33% of being cured of any major status ailment.",Heals the body by shedding.
183,guts,3,"Whenever this Pokémon is asleep, burned, paralyzed, or poisoned, it has 1.5× its Attack.  This Pokémon is not affected by the usual Attack cut from a burn.

This bonus does not count as a stat modifier.",Ups ATTACK if suffering.
184,marvel-scale,3,"Whenever this Pokémon has a major status ailment, it has 1.5× its Defense.

This bonus does not count as a stat modifier.",Ups DEFENSE if suffering.
185,liquid-ooze,3,"Whenever a Pokémon would heal after hitting this Pokémon with a leeching move like absorb, it instead loses as many HP as it would usually gain.

dream eater is unaffected.",Draining causes injury.
186,overgrow,3,"When this Pokémon has 1/3 or less of its HP remaining, its grass-type moves inflict 1.5× as much regular damage.",Ups GRASS moves in a pinch.
187,blaze,3,"When this Pokémon has 1/3 or less of its HP remaining, its fire-type moves inflict 1.5× as much regular damage.",Ups FIRE moves in a pinch.
188,torrent,3,"When this Pokémon has 1/3 or less of its HP remaining, its water-type moves inflict 1.5× as much regular damage.",Ups WATER moves in a pinch.
189,swarm,3,"When this Pokémon has 1/3 or less of its HP remaining, its bug-type moves inflict 1.5× as much regular damage.

Overworld: If the lead Pokémon has this ability, the wild encounter rate is increased.",Ups BUG moves in a pinch.
190,rock-head,3,"This Pokémon does not receive recoil damage from its recoil moves.

struggle's recoil is unaffected.  This ability does not prevent crash damage from missing with jump kick or high jump kick.","Protects the Pokémon
from recoil damage."
191,drought,3,"The weather changes to strong sunlight when this Pokémon enters battle and does not end unless cancelled by another weather condition.

If multiple Pokémon with this ability, drizzle, sand stream, or snow warning are sent out at the same time, the abilities will activate in order of Speed, respecting trick room.  Each ability's weather will cancel the previous weather, and only the weather summoned by the slowest of the Pokémon will stay.",Summons sunlight in battle.
192,arena-trap,3,"While this Pokémon is in battle, opposing Pokémon cannot flee or switch out.  flying-type Pokémon and Pokémon in the air, e.g. due to levitate or magnet rise, are unaffected.

Pokémon with run away can still flee.  Pokémon can still switch out with the use of a move or item.

Overworld: If the lead Pokémon has this ability, the wild encounter rate is doubled.",Prevents fleeing.
193,stench,3,"This Pokémon's damaging moves have a 10% chance to make the target flinch with each hit if they do not already cause flinching as a secondary effect.

This ability does not stack with a held item.

Overworld: The wild encounter rate is halved while this Pokémon is first in the party.",Helps repel wild POKéMON.
194,drizzle,3,"The weather changes to rain when this Pokémon enters battle and does not end unless replaced by another weather condition.

If multiple Pokémon with this ability, drought, sand stream, or snow warning are sent out at the same time, the abilities will activate in order of Speed, respecting trick room.  Each ability's weather will cancel the previous weather, and only the weather summoned by the slowest of the Pokémon will stay.",Summons rain in battle.
195,speed-boost,3,This Pokémon's Speed rises one stage after each turn.,Gradually boosts SPEED.
196,battle-armor,3,"Moves cannot score critical hits against this Pokémon.

This ability functions identically to shell armor.",Blocks critical hits.
197,sturdy,3,"When this Pokémon is at full HP, any hit that would knock it out will instead leave it with 1 HP.  Regardless of its current HP, it is also immune to the one-hit KO moves: fissure, guillotine, horn drill, and sheer cold.

If this Pokémon is holding a focus sash, this ability takes precedence and the item will not be consumed.",Negates 1-hit KO attacks.
198,damp,3,"While this Pokémon is in battle, self destruct and explosion will fail and aftermath will not take effect.",Prevents self-destruction.
199,limber,3,"This Pokémon cannot be paralyzed.

If a Pokémon is paralyzed and acquires this ability, its paralysis is healed; this includes when regaining a lost ability upon leaving battle.",Prevents paralysis.
200,sand-veil,3,"During a sandstorm, this Pokémon has 1.25× its evasion, and it does not take sandstorm damage regardless of type.

The evasion bonus does not count as a stat modifier.

Overworld: If the lead Pokémon has this ability, the wild encounter rate is halved in a sandstorm.",Ups evasion in a sandstorm.
201,static,3,"Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being paralyzed.

Pokémon that are immune to electric-type moves can still be paralyzed by this ability.

Overworld: If the lead Pokémon has this ability, there is a 50% chance that encounters will be with an electric Pokémon, if applicable.",Paralyzes on contact.
202,volt-absorb,3,"Whenever an electric-type move hits this Pokémon, it heals for 1/4 of its maximum HP, negating any other effect on it.

This ability will not take effect if this Pokémon is ground-type and thus immune to Electric moves.  Electric moves will ignore this Pokémon's substitute.

This effect includes non-damaging moves, i.e. thunder wave.",Turns electricity into HP.
203,water-absorb,3,"Whenever a water-type move hits this Pokémon, it heals for 1/4 of its maximum HP, negating any other effect on it.

Water moves will ignore this Pokémon's substitute.",Changes water into HP.
204,oblivious,3,"This Pokémon cannot be infatuated and is immune to captivate.

If a Pokémon is infatuated and acquires this ability, its infatuation is cleared.",Prevents attraction.
205,cloud-nine,3,"While this Pokémon is in battle, weather can still be in play, but will not have any of its effects.

This ability functions identically to air lock.",Negates weather effects.
206,compound-eyes,3,"This Pokémon's moves have 1.3× their accuracy.

This ability has no effect on the one-hit KO moves (fissure, guillotine, horn drill, and sheer cold).

Overworld: If the first Pokémon in the party has this ability, the chance of a wild Pokémon holding a particular item is raised from 50%, 5%, or 1% to 60%, 20%, or 5%, respectively.",Raises accuracy.
207,insomnia,3,"This Pokémon cannot be asleep.

This causes rest to fail altogether.  If a Pokémon is asleep and acquires this ability, it will immediately wake up; this includes when regaining a lost ability upon leaving battle.

This ability functions identically to vital spirit in battle.",Prevents sleep.
208,color-change,3,"Whenever this Pokémon takes damage from a move, the Pokémon's type changes to match the move.

If the Pokémon has two types, both are overridden.  The Pokémon must directly take damage; for example, moves blocked by a substitute will not trigger this ability, nor will moves that deal damage indirectly, such as spikes.

This ability takes effect on only the last hit of a multiple-hit attack.

In Pokémon Colosseum and XD: Gale of Darkness, this ability does not take effect on Shadow-type moves.",Changes type to foe’s move.
209,immunity,3,"This Pokémon cannot be poisoned.  This includes bad poison.

If a Pokémon is poisoned and acquires this ability, its poison is healed; this includes when regaining a lost ability upon leaving battle.",Prevents poisoning.
210,flash-fire,3,"This Pokémon is immune to fire-type moves.  Once this Pokémon has been hit by a Fire move, its own Fire moves will inflict 1.5× as much damage until it leaves battle.

This ability has no effect while the Pokémon is frozen.  The Fire damage bonus is retained even if the Pokémon is frozen and thawed or the ability is lost or disabled.  Fire moves will ignore this Pokémon's substitute.  This ability takes effect even on non-damaging moves, i.e. will o wisp.",Powers up if hit by fire.
211,shield-dust,3,"This Pokémon is immune to the extra effects of moves used against it.

An extra effect is a move's chance, listed as an ""effect chance"", to inflict a status ailment, cause a stat change, or make the target flinch in addition to the move's main effect.  For example, thunder shock's paralysis is an extra effect, but thunder wave's is not, nor are knock off's item removal and air cutter's increased critical hit rate.",Prevents added effects.
212,own-tempo,3,"This Pokémon cannot be confused.

If a Pokémon is confused and acquires this ability, its confusion will immediately be healed.",Prevents confusion.
213,suction-cups,3,"This Pokémon cannot be forced out of battle by moves such as whirlwind.

dragon tail and circle throw still inflict damage against this Pokémon.

Overworld: If the lead Pokémon has this ability, the success rate while fishing is increased.",Firmly anchors the body.
214,intimidate,3,"When this Pokémon enters battle, the opponent's Attack is lowered by one stage.  In a double battle, both opponents are affected.

This ability also takes effect when acquired during a battle, but will not take effect again if lost and reobtained without leaving battle.

This ability has no effect on an opponent that has a substitute.

Overworld: If the first Pokémon in the party has this ability, any random encounter with a Pokémon five or more levels lower than it has a 50% chance of being skipped.",Lowers the foe’s ATTACK.
215,shadow-tag,3,"While this Pokémon is in battle, opposing Pokémon cannot flee or switch out.

Other Pokémon with this ability are unaffected.  Pokémon with run away can still flee.  Pokémon can still switch out with the use of a move or item.",Prevents the foe’s escape.
216,rough-skin,3,"Whenever a move makes contact with this Pokémon, the move's user takes 1/8 of its maximum HP in damage.

This ability functions identically to iron barbs.",Hurts to touch.
217,wonder-guard,3,"This Pokémon is immune to damaging moves that are not super effective against it.

Moves that inflict fixed damage, such as night shade or seismic toss, are considered super effective if their types are.  Damage not directly dealt by moves, such as damage from weather, a status ailment, or spikes, is not prevented.

This ability cannot be copied with role play or traded away with skill swap, but it can be copied with trace, disabled with gastro acid, or changed with worry seed.  This Pokémon can still use Role Play itself to lose this ability, but not Skill Swap.

If this Pokémon has a substitute, this ability will block moves as usual and any moves not blocked will react to the Substitute as usual.",“Super effective” hits.
218,levitate,3,"This Pokémon is immune to ground-type moves, spikes, toxic spikes, and arena trap.

This ability is disabled during gravity or ingrain, or while holding an iron ball.  This ability is not disabled during roost.",Not hit by GROUND attacks.
219,effect-spore,3,"Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being paralyzed, poisoned, or put to sleep, chosen at random.

Nothing is done to compensate if the move's user is immune to one of these ailments; there is simply a lower chance that the move's user will be affected.",Leaves spores on contact.
220,synchronize,3,"Whenever this Pokémon is burned, paralyzed, or poisoned, the Pokémon who gave this Pokémon that ailment is also given the ailment.

This ability passes back bad poison when this Pokémon is badly poisoned.  This ability cannot pass on a status ailment that the Pokémon did not directly receive from another Pokémon, such as the poison from toxic spikes or the burn from a flame orb.

Overworld: If the lead Pokémon has this ability, wild Pokémon have a 50% chance of having the lead Pokémon's nature, and a 50% chance of being given a random nature as usual, including the lead Pokémon's nature.  This does not work on Pokémon received outside of battle or roaming legendaries.",Passes on status problems.
